ISO3,country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),year,Expected Years of Schooling,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
USA,United States,America,Northern Hemisphere,Very High,,21.0,2018,16.28334999,North America and ANZ,6.886,1.398,1.471,0.819,0.547,0.291,0.133
UZB,Uzbekistan,Asia,Northern Hemisphere,High,ECA,101.0,2018,12.25255966,Commonwealth of Independent States,6.096,0.719,1.584,0.605,0.724,0.328,0.259
VEN,Venezuela,America,Northern Hemisphere,Medium,LAC,120.0,2018,12.81608,Latin America and Caribbean,4.806,0.996,1.469,0.657,0.133,0.056,0.052
ZAF,South Africa,Africa,Southern Hemisphere,High,SSA,109.0,2018,13.53530979,Sub-Saharan Africa,4.724,0.94,1.41,0.33,0.516,0.103,0.056
ZMB,Zambia,Africa,Southern Hemisphere,Medium,SSA,154.0,2018,10.92836554,Sub-Saharan Africa,4.377,0.562,1.047,0.295,0.503,0.221,0.082
ZWE,Zimbabwe,Africa,Southern Hemisphere,Medium,SSA,146.0,2018,11.98176697,Sub-Saharan Africa,3.692,0.357,1.094,0.248,0.406,0.132,0.099
AFG,Afghanistan,Asia,Northern Hemisphere,Low,SA,180.0,2019,10.26384398,South Asia,3.203,0.35,0.517,0.361,0.0,0.158,0.025
ALB,Albania,Europe,Northern Hemisphere,High,ECA,67.0,2019,14.81892014,Central and Eastern Europe,4.719,0.947,0.848,0.874,0.383,0.178,0.027
ARE,United Arab Emirates,Asia,Northern Hemisphere,Very High,AS,26.0,2019,15.69414043,Middle East and North Africa,6.825,1.503,1.31,0.825,0.598,0.262,0.182
ARG,Argentina,America,Southern Hemisphere,Very High,LAC,47.0,2019,17.8748703,Latin America and Caribbean,6.086,1.092,1.432,0.881,0.471,0.066,0.05
ARM,Armenia,Asia,Northern Hemisphere,High,ECA,85.0,2019,13.10608959,Central and Eastern Europe,4.559,0.85,1.055,0.815,0.283,0.095,0.064
AUS,Australia,Oceania,Southern Hemisphere,Very High,,5.0,2019,21.57801056,North America and ANZ,7.228,1.372,1.548,1.036,0.557,0.332,0.29
AUT,Austria,Europe,Northern Hemisphere,Very High,,25.0,2019,16.00795937,Western Europe,7.246,1.376,1.475,1.016,0.532,0.244,0.226
BEL,Belgium,Europe,Northern Hemisphere,Very High,,13.0,2019,19.60421944,Western Europe,6.923,1.356,1.504,0.986,0.473,0.16,0.21
BEN,Benin,Africa,Northern Hemisphere,Low,SSA,166.0,2019,11.22864723,Sub-Saharan Africa,4.883,0.393,0.437,0.397,0.349,0.175,0.082
BFA,Burkina Faso,Africa,Northern Hemisphere,Low,SSA,184.0,2019,9.262040138,Sub-Saharan Africa,4.587,0.331,1.056,0.38,0.255,0.177,0.113
BGD,Bangladesh,Asia,Northern Hemisphere,Medium,SA,129.0,2019,12.23883533,South Asia,4.456,0.562,0.928,0.723,0.527,0.166,0.143
BGR,Bulgaria,Europe,Northern Hemisphere,High,,68.0,2019,13.89729023,Central and Eastern Europe,5.011,1.092,1.513,0.815,0.311,0.081,0.004
BHR,Bahrain,Asia,Northern Hemisphere,Very High,AS,35.0,2019,16.29755974,Middle East and North Africa,6.199,1.362,1.368,0.871,0.536,0.255,0.11
BIH,Bosnia and Herzegovina,Europe,Northern Hemisphere,High,ECA,74.0,2019,13.8,Central and Eastern Europe,5.386,0.945,1.212,0.845,0.212,0.263,0.006
BOL,Bolivia,America,Southern Hemisphere,Medium,LAC,118.0,2019,14.94697094,Latin America and Caribbean,5.779,0.776,1.209,0.706,0.511,0.137,0.064
BRA,Brazil,America,Southern Hemisphere,High,LAC,87.0,2019,15.59906006,Latin America and Caribbean,6.3,1.004,1.439,0.802,0.39,0.099,0.086
BWA,Botswana,Africa,Southern Hemisphere,Medium,SSA,117.0,2019,12.26513765,Sub-Saharan Africa,3.488,1.041,1.145,0.538,0.455,0.025,0.1
CAN,Canada,America,Northern Hemisphere,Very High,,15.0,2019,16.39625931,North America and ANZ,7.278,1.365,1.505,1.039,0.584,0.285,0.308
CHE,Switzerland,Europe,Northern Hemisphere,Very High,,1.0,2019,16.50029945,Western Europe,7.48,1.452,1.526,1.052,0.572,0.263,0.343
CHL,Chile,America,Southern Hemisphere,Very High,LAC,42.0,2019,16.73130035,Latin America and Caribbean,6.444,1.159,1.369,0.92,0.357,0.187,0.056
CHN,China,Asia,Northern Hemisphere,High,EAP,79.0,2019,14.2361149,East Asia,5.191,1.029,1.125,0.893,0.521,0.058,0.1
CIV,Ivory Coast,Africa,Northern Hemisphere,Medium,SSA,159.0,2019,10.48435974,Sub-Saharan Africa,4.944,0.569,0.808,0.232,0.352,0.154,0.09
CMR,Cameroon,Africa,Northern Hemisphere,Medium,SSA,151.0,2019,13.10859922,Sub-Saharan Africa,5.044,0.549,0.91,0.331,0.381,0.187,0.037
COL,Colombia,America,Northern Hemisphere,High,LAC,88.0,2019,14.51506042,Latin America and Caribbean,6.125,0.985,1.41,0.841,0.47,0.099,0.034
CRI,Costa Rica,America,Northern Hemisphere,Very High,LAC,58.0,2019,16.54577065,Latin America and Caribbean,7.167,1.034,1.441,0.963,0.558,0.144,0.093
DEU,Germany,Europe,Northern Hemisphere,Very High,,9.0,2019,17.01013947,Western Europe,6.985,1.373,1.454,0.987,0.495,0.261,0.265
DNK,Denmark,Europe,Northern Hemisphere,Very High,,6.0,2019,18.71479988,Western Europe,7.6,1.383,1.573,0.996,0.592,0.252,0.41
DOM,Dominican Republic,America,Northern Hemisphere,High,LAC,80.0,2019,14.46655802,Latin America and Caribbean,5.425,1.015,1.401,0.779,0.497,0.113,0.101
DZA,Algeria,Africa,Northern Hemisphere,High,AS,91.0,2019,14.62689602,Middle East and North Africa,5.211,1.002,1.16,0.785,0.086,0.073,0.114
ECU,Ecuador,America,Southern Hemisphere,High,LAC,95.0,2019,14.62423038,Latin America and Caribbean,6.028,0.912,1.312,0.868,0.498,0.126,0.087
EGY,Egypt,Africa,Northern Hemisphere,High,AS,97.0,2019,13.78649972,Middle East and North Africa,4.166,0.913,1.039,0.644,0.241,0.076,0.067
ESP,Spain,Europe,Northern Hemisphere,Very High,,27.0,2019,17.91690063,Western Europe,6.354,1.286,1.484,1.062,0.362,0.153,0.079
EST,Estonia,Europe,Northern Hemisphere,Very High,,31.0,2019,15.92895985,Central and Eastern Europe,5.893,1.237,1.528,0.874,0.495,0.103,0.161
ETH,Ethiopia,Africa,Northern Hemisphere,Low,SSA,175.0,2019,9.651071421,Sub-Saharan Africa,4.286,0.336,1.033,0.532,0.344,0.209,0.1
FIN,Finland,Europe,Northern Hemisphere,Very High,,11.0,2019,19.05192947,Western Europe,7.769,1.34,1.587,0.986,0.596,0.153,0.393
FRA,France,Europe,Northern Hemisphere,Very High,,28.0,2019,15.81206989,Western Europe,6.592,1.324,1.472,1.045,0.436,0.111,0.183
GAB,Gabon,Africa,Southern Hemisphere,High,SSA,112.0,2019,12.97731,Sub-Saharan Africa,4.799,1.057,1.183,0.571,0.295,0.043,0.055
GBR,United Kingdom,Europe,Northern Hemisphere,Very High,,18.0,2019,17.30971909,Western Europe,7.054,1.333,1.538,0.996,0.45,0.348,0.278
GEO,Georgia,Asia,Northern Hemisphere,Very High,ECA,63.0,2019,15.6153698,Central and Eastern Europe,4.519,0.886,0.666,0.752,0.346,0.043,0.164
GHA,Ghana,Africa,Northern Hemisphere,Medium,SSA,133.0,2019,11.86730957,Sub-Saharan Africa,4.996,0.611,0.868,0.486,0.381,0.245,0.04
GIN,Guinea,Africa,Northern Hemisphere,Low,SSA,182.0,2019,9.805297465,Sub-Saharan Africa,4.534,0.38,0.829,0.375,0.332,0.207,0.086
GRC,Greece,Europe,Northern Hemisphere,Very High,,33.0,2019,20.02878952,Western Europe,5.287,1.181,1.156,0.999,0.067,0.0,0.034
GTM,Guatemala,America,Northern Hemisphere,Medium,LAC,135.0,2019,10.56245041,Latin America and Caribbean,6.436,0.8,1.269,0.746,0.535,0.175,0.078
HND,Honduras,America,Northern Hemisphere,Medium,LAC,137.0,2019,10.13281417,Latin America and Caribbean,5.86,0.642,1.236,0.828,0.507,0.246,0.078
HRV,Croatia,Europe,Northern Hemisphere,Very High,,40.0,2019,15.11209965,Central and Eastern Europe,5.432,1.155,1.266,0.914,0.296,0.119,0.022
HUN,Hungary,Europe,Northern Hemisphere,Very High,,46.0,2019,15.0336281,Central and Eastern Europe,5.758,1.201,1.41,0.828,0.199,0.081,0.02
IDN,Indonesia,Asia,Southern Hemisphere,High,EAP,114.0,2019,13.74889386,Southeast Asia,5.192,0.931,1.203,0.66,0.491,0.498,0.028
IND,India,Asia,Northern Hemisphere,Medium,SA,132.0,2019,11.46362019,South Asia,4.015,0.755,0.765,0.588,0.498,0.2,0.085
IRL,Ireland,Europe,Northern Hemisphere,Very High,,8.0,2019,18.94522095,Western Europe,7.021,1.499,1.553,0.999,0.516,0.298,0.31
IRN,Iran,Asia,Northern Hemisphere,High,SA,76.0,2019,14.68140984,Middle East and North Africa,4.548,1.1,0.842,0.785,0.305,0.27,0.125
IRQ,Iraq,Asia,Northern Hemisphere,Medium,AS,121.0,2019,12.08747317,Middle East and North Africa,4.437,1.043,0.98,0.574,0.241,0.148,0.089
ISL,Iceland,Europe,Northern Hemisphere,Very High,,3.0,2019,19.16305923,Western Europe,7.494,1.38,1.624,1.026,0.591,0.354,0.118
ISR,Israel,Asia,Northern Hemisphere,Very High,,22.0,2019,16.05088997,Middle East and North Africa,7.139,1.276,1.455,1.029,0.371,0.261,0.082
ITA,Italy,Europe,Northern Hemisphere,Very High,,30.0,2019,16.22678947,Western Europe,6.223,1.294,1.488,1.039,0.231,0.158,0.03
JAM,Jamaica,America,Northern Hemisphere,High,LAC,110.0,2019,13.40492042,Latin America and Caribbean,5.89,0.831,1.478,0.831,0.49,0.107,0.028
JOR,Jordan,Asia,Northern Hemisphere,High,AS,102.0,2019,10.56050968,Middle East and North Africa,4.906,0.837,1.225,0.815,0.383,0.11,0.13
JPN,Japan,Asia,Northern Hemisphere,Very High,,19.0,2019,15.22162588,East Asia,5.886,1.327,1.419,1.088,0.445,0.069,0.14
KAZ,Kazakhstan,Asia,Northern Hemisphere,Very High,ECA,56.0,2019,15.6129303,Commonwealth of Independent States,5.809,1.173,1.508,0.729,0.41,0.146,0.096
KEN,Kenya,Africa,Northern Hemisphere,Medium,SSA,152.0,2019,10.69855835,Sub-Saharan Africa,4.509,0.512,0.983,0.581,0.431,0.372,0.053
KGZ,Kyrgyzstan,Asia,Northern Hemisphere,Medium,ECA,118.0,2019,13.03588009,Commonwealth of Independent States,5.261,0.551,1.438,0.723,0.508,0.3,0.023
KHM,Cambodia,Asia,Northern Hemisphere,Medium,EAP,146.0,2019,11.46772,Southeast Asia,4.7,0.574,1.122,0.637,0.609,0.232,0.062
KOR,South Korea,Asia,Northern Hemisphere,Very High,,19.0,2019,16.52173996,East Asia,5.895,1.301,1.219,1.036,0.159,0.175,0.056
LBN,Lebanon,Asia,Northern Hemisphere,High,AS,112.0,2019,11.28587,Middle East and North Africa,5.197,0.987,1.224,0.815,0.216,0.166,0.027
LBR,Liberia,Africa,Northern Hemisphere,Low,SSA,178.0,2019,10.34691919,Sub-Saharan Africa,3.975,0.073,0.922,0.443,0.37,0.233,0.033
LKA,Sri Lanka,Asia,Northern Hemisphere,High,SA,73.0,2019,14.13990486,South Asia,4.366,0.949,1.265,0.831,0.47,0.244,0.047
LTU,Lithuania,Europe,Northern Hemisphere,Very High,,35.0,2019,16.28506088,Central and Eastern Europe,6.149,1.238,1.515,0.818,0.291,0.043,0.042
LUX,Luxembourg,Europe,Northern Hemisphere,Very High,,17.0,2019,14.39813995,Western Europe,7.09,1.609,1.479,1.012,0.526,0.194,0.316
LVA,Latvia,Europe,Northern Hemisphere,Very High,,39.0,2019,16.20252991,Central and Eastern Europe,5.94,1.187,1.465,0.812,0.264,0.075,0.064
MAR,Morocco,Africa,Northern Hemisphere,Medium,AS,123.0,2019,13.95818996,Middle East and North Africa,5.208,0.801,0.782,0.782,0.418,0.036,0.076
MDA,Moldova,Europe,Northern Hemisphere,High,ECA,80.0,2019,14.46210003,Central and Eastern Europe,5.529,0.685,1.328,0.739,0.245,0.181,0.0
MDG,Madagascar,Africa,Southern Hemisphere,Low,SSA,173.0,2019,10.13499142,Sub-Saharan Africa,3.933,0.274,0.916,0.555,0.148,0.169,0.041
MEX,Mexico,America,Northern Hemisphere,High,LAC,86.0,2019,14.86443996,Latin America and Caribbean,6.595,1.07,1.323,0.861,0.433,0.074,0.073
MKD,North Macedonia,Europe,Northern Hemisphere,High,ECA,78.0,2019,13.62443234,Central and Eastern Europe,5.274,0.983,1.294,0.838,0.345,0.185,0.034
MLI,Mali,Africa,Northern Hemisphere,Low,SSA,186.0,2019,7.423037617,Sub-Saharan Africa,4.39,0.385,1.105,0.308,0.327,0.153,0.052
MLT,Malta,Europe,Northern Hemisphere,Very High,,23.0,2019,16.83856964,Western Europe,6.726,1.3,1.52,0.999,0.564,0.375,0.151
MMR,Myanmar,Asia,Northern Hemisphere,Medium,EAP,149.0,2019,10.90913752,Southeast Asia,4.36,0.71,1.181,0.555,0.525,0.566,0.172
MNE,Montenegro,Europe,Northern Hemisphere,Very High,ECA,49.0,2019,14.94519997,Central and Eastern Europe,5.523,1.051,1.361,0.871,0.197,0.142,0.08
MNG,Mongolia,Asia,Northern Hemisphere,High,EAP,96.0,2019,14.98034954,East Asia,5.285,0.948,1.531,0.667,0.317,0.235,0.038
MRT,Mauritania,Africa,Northern Hemisphere,Medium,SSA,158.0,2019,9.376159668,Sub-Saharan Africa,4.49,0.57,1.167,0.489,0.066,0.106,0.088
MUS,Mauritius,Africa,Southern Hemisphere,Very High,SSA,63.0,2019,15.17352977,Sub-Saharan Africa,5.888,1.12,1.402,0.798,0.498,0.215,0.06
MWI,Malawi,Africa,Southern Hemisphere,Low,SSA,169.0,2019,12.67898523,Sub-Saharan Africa,3.41,0.191,0.56,0.495,0.443,0.218,0.089
MYS,Malaysia,Asia,Northern Hemisphere,Very High,EAP,62.0,2019,13.48631954,Southeast Asia,5.339,1.221,1.171,0.828,0.508,0.26,0.024
NER,Niger,Africa,Northern Hemisphere,Low,SSA,189.0,2019,6.957111988,Sub-Saharan Africa,4.628,0.138,0.774,0.366,0.318,0.188,0.102
NGA,Nigeria,Africa,Northern Hemisphere,Low,SSA,163.0,2019,10.12758388,Sub-Saharan Africa,5.265,0.696,1.111,0.245,0.426,0.215,0.041
NIC,Nicaragua,America,Northern Hemisphere,Medium,LAC,126.0,2019,12.64135783,Latin America and Caribbean,6.105,0.694,1.325,0.835,0.435,0.2,0.127
NLD,Netherlands,Europe,Northern Hemisphere,Very High,,10.0,2019,18.69316522,Western Europe,7.488,1.396,1.522,0.999,0.557,0.322,0.298
NOR,Norway,Europe,Northern Hemisphere,Very High,,2.0,2019,18.18519974,Western Europe,7.554,1.488,1.582,1.028,0.603,0.271,0.341
NPL,Nepal,Asia,Northern Hemisphere,Medium,SA,143.0,2019,13.15132046,South Asia,4.913,0.446,1.226,0.677,0.439,0.285,0.089
NZL,New Zealand,Oceania,Southern Hemisphere,Very High,,13.0,2019,20.28388977,North America and ANZ,7.307,1.303,1.557,1.026,0.585,0.33,0.38
PAK,Pakistan,Asia,Northern Hemisphere,Low,SA,161.0,2019,8.658349991,South Asia,5.653,0.677,0.886,0.535,0.313,0.22,0.098
PAN,Panama,America,Northern Hemisphere,Very High,LAC,61.0,2019,13.05787868,Latin America and Caribbean,6.321,1.149,1.442,0.91,0.516,0.109,0.054
PER,Peru,America,Southern Hemisphere,High,LAC,84.0,2019,15.38773354,Latin America and Caribbean,5.697,0.96,1.274,0.854,0.455,0.083,0.027
PHL,Philippines,Asia,Northern Hemisphere,Medium,EAP,116.0,2019,13.39021015,Southeast Asia,5.631,0.807,1.293,0.657,0.558,0.117,0.107
POL,Poland,Europe,Northern Hemisphere,Very High,,34.0,2019,16.0271492,Central and Eastern Europe,6.182,1.206,1.438,0.884,0.483,0.117,0.05
PRT,Portugal,Europe,Northern Hemisphere,Very High,,38.0,2019,16.87122917,Western Europe,5.693,1.221,1.431,0.999,0.508,0.047,0.025
PRY,Paraguay,America,Southern Hemisphere,High,LAC,105.0,2019,12.98799113,Latin America and Caribbean,5.743,0.855,1.475,0.777,0.514,0.184,0.08
ROU,Romania,Europe,Northern Hemisphere,Very High,,53.0,2019,14.22990036,Central and Eastern Europe,6.07,1.162,1.232,0.825,0.462,0.083,0.005
SAU,Saudi Arabia,Asia,Northern Hemisphere,Very High,AS,35.0,2019,16.02643967,Middle East and North Africa,6.375,1.403,1.357,0.795,0.439,0.08,0.132
SEN,Senegal,Africa,Northern Hemisphere,Low,SSA,170.0,2019,8.844010353,Sub-Saharan Africa,4.681,0.45,1.134,0.571,0.292,0.153,0.072
SGP,Singapore,Asia,Northern Hemisphere,Very High,EAP,12.0,2019,16.5243206,Southeast Asia,6.262,1.572,1.463,1.141,0.556,0.271,0.453
SLE,Sierra Leone,Africa,Northern Hemisphere,Low,SSA,181.0,2019,9.57339109,Sub-Saharan Africa,4.374,0.268,0.841,0.242,0.309,0.252,0.045
SLV,El Salvador,America,Northern Hemisphere,Medium,LAC,125.0,2019,12.67134767,Latin America and Caribbean,6.253,0.794,1.242,0.789,0.43,0.093,0.074
SRB,Serbia,Europe,Northern Hemisphere,Very High,ECA,63.0,2019,14.65697002,Central and Eastern Europe,5.603,1.004,1.383,0.854,0.282,0.137,0.039
SVK,Slovakia,Europe,Northern Hemisphere,Very High,,45.0,2019,14.51303959,Central and Eastern Europe,6.198,1.246,1.504,0.881,0.334,0.121,0.014
SVN,Slovenia,Europe,Northern Hemisphere,Very High,,23.0,2019,17.65492058,Central and Eastern Europe,6.118,1.258,1.523,0.953,0.564,0.144,0.057
SWE,Sweden,Europe,Northern Hemisphere,Very High,,7.0,2019,19.41852951,Western Europe,7.343,1.387,1.487,1.009,0.574,0.267,0.373
TCD,Chad,Africa,Northern Hemisphere,Low,SSA,190.0,2019,8.035914334,Sub-Saharan Africa,4.35,0.35,0.766,0.192,0.174,0.198,0.078
TGO,Togo,Africa,Northern Hemisphere,Low,SSA,162.0,2019,12.95049378,Sub-Saharan Africa,4.085,0.275,0.572,0.41,0.293,0.177,0.085
THA,Thailand,Asia,Northern Hemisphere,Very High,EAP,66.0,2019,15.88221913,Southeast Asia,6.008,1.05,1.409,0.828,0.557,0.359,0.028
TJK,Tajikistan,Asia,Northern Hemisphere,Medium,ECA,122.0,2019,11.65303618,Commonwealth of Independent States,5.467,0.493,1.098,0.718,0.389,0.23,0.144
TUN,Tunisia,Africa,Northern Hemisphere,High,AS,97.0,2019,15.42538224,Middle East and North Africa,4.461,0.921,1.0,0.815,0.167,0.059,0.055
TZA,Tanzania,Africa,Southern Hemisphere,Low,SSA,160.0,2019,8.86207962,Sub-Saharan Africa,3.231,0.476,0.885,0.499,0.417,0.276,0.147
UGA,Uganda,Africa,Northern Hemisphere,Low,SSA,166.0,2019,10.14986994,Sub-Saharan Africa,4.189,0.332,1.069,0.443,0.356,0.252,0.06
UKR,Ukraine,Europe,Northern Hemisphere,High,ECA,77.0,2019,14.95656854,Central and Eastern Europe,4.332,0.82,1.39,0.739,0.178,0.187,0.01
URY,Uruguay,America,Southern Hemisphere,Very High,LAC,58.0,2019,16.83259964,Latin America and Caribbean,6.293,1.124,1.465,0.891,0.523,0.127,0.15
USA,United States,America,Northern Hemisphere,Very High,,21.0,2019,16.28097916,North America and ANZ,6.892,1.433,1.457,0.874,0.454,0.28,0.128
UZB,Uzbekistan,Asia,Northern Hemisphere,High,ECA,101.0,2019,12.47714043,Commonwealth of Independent States,6.174,0.745,1.529,0.756,0.631,0.322,0.24
VEN,Venezuela,America,Northern Hemisphere,Medium,LAC,120.0,2019,12.81608,Latin America and Caribbean,4.707,0.96,1.427,0.805,0.154,0.064,0.047
ZAF,South Africa,Africa,Southern Hemisphere,High,SSA,109.0,2019,13.64371014,Sub-Saharan Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055
ZMB,Zambia,Africa,Southern Hemisphere,Medium,SSA,154.0,2019,10.92876021,Sub-Saharan Africa,4.107,0.578,1.058,0.426,0.431,0.247,0.087
ZWE,Zimbabwe,Africa,Southern Hemisphere,Medium,SSA,146.0,2019,12.11096904,Sub-Saharan Africa,3.663,0.366,1.114,0.433,0.361,0.151,0.089
AFG,Afghanistan,Asia,Northern Hemisphere,Low,SA,180.0,2020,10.26384398,South Asia,2.566900015,0.30070585,0.356433839,0.266051531,0.0,0.135234714,0.001225785
ALB,Albania,Europe,Northern Hemisphere,High,ECA,67.0,2020,14.44799995,Central and Eastern Europe,4.882699966,0.906653047,0.830483913,0.846329629,0.461945891,0.171027765,0.025361285
ARE,United Arab Emirates,Asia,Northern Hemisphere,Very High,AS,26.0,2020,15.71769047,Middle East and North Africa,6.790800095,1.431086421,1.251170993,0.787814438,0.652936101,0.28065598,0.220213518
ARG,Argentina,America,Southern Hemisphere,Very High,LAC,47.0,2020,17.8748703,Latin America and Caribbean,5.974699974,1.028465629,1.372543693,0.849773705,0.520840347,0.070100471,0.060415059
ARM,Armenia,Asia,Northern Hemisphere,High,ECA,85.0,2020,13.11676025,Central and Eastern Europe,4.676799774,0.808262408,1.034576893,0.77585727,0.378075808,0.107225738,0.104618184
AUS,Australia,Oceania,Southern Hemisphere,Very High,,5.0,2020,21.05459023,North America and ANZ,7.222799778,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419
AUT,Austria,Europe,Northern Hemisphere,Very High,,25.0,2020,16.00795937,Western Europe,7.294199944,1.317285538,1.437444925,1.000933528,0.603368878,0.255509764,0.281256139
BEL,Belgium,Europe,Northern Hemisphere,Very High,,13.0,2020,19.60421944,Western Europe,6.863500118,1.295842767,1.398677588,0.964901149,0.499805421,0.146966159,0.208724052
BEN,Benin,Africa,Northern Hemisphere,Low,SSA,166.0,2020,10.76667976,Sub-Saharan Africa,5.21600008,0.366244704,0.352428436,0.328062952,0.40583989,0.196670428,0.125931874
BFA,Burkina Faso,Africa,Northern Hemisphere,Low,SSA,184.0,2020,9.142100334,Sub-Saharan Africa,4.768700123,0.302467644,0.9293859,0.312833875,0.322398156,0.186390609,0.126408055
BGD,Bangladesh,Asia,Northern Hemisphere,Medium,SA,129.0,2020,12.44198036,South Asia,4.832799911,0.556156278,0.868800581,0.694940507,0.604130566,0.176745117,0.176735908
BGR,Bulgaria,Europe,Northern Hemisphere,High,,68.0,2020,13.89729023,Central and Eastern Europe,5.101500034,1.046554685,1.460578918,0.777776897,0.417820066,0.103833713,0.0
BHR,Bahrain,Asia,Northern Hemisphere,Very High,AS,35.0,2020,16.29755974,Middle East and North Africa,6.227300167,1.296692252,1.31532371,0.838836372,0.610399902,0.287453711,0.126697257
BIH,Bosnia and Herzegovina,Europe,Northern Hemisphere,High,ECA,74.0,2020,13.8,Central and Eastern Europe,5.674099922,0.91839546,1.203986526,0.813928187,0.305365741,0.264005244,0.001172487
BOL,Bolivia,America,Southern Hemisphere,Medium,LAC,118.0,2020,14.94697094,Latin America and Caribbean,5.747499943,0.730976343,1.142350554,0.662445664,0.5744645,0.138375074,0.072942637
BRA,Brazil,America,Southern Hemisphere,High,LAC,87.0,2020,15.59906006,Latin America and Caribbean,6.375599861,0.952679873,1.363464117,0.766119063,0.483292729,0.131674588,0.106518604
BWA,Botswana,Africa,Southern Hemisphere,Medium,SSA,117.0,2020,12.26513765,Sub-Saharan Africa,3.478899956,0.997548997,1.08569479,0.494101733,0.50908941,0.033407487,0.101786368
CAN,Canada,America,Northern Hemisphere,Very High,,15.0,2020,16.39625931,North America and ANZ,7.23210001,1.301647663,1.435391903,1.022501945,0.644028127,0.28152892,0.351701856
CHE,Switzerland,Europe,Northern Hemisphere,Very High,,1.0,2020,16.50029945,Western Europe,7.559899807,1.39077425,1.472403407,1.040533185,0.62895447,0.269055754,0.407945901
CHL,Chile,America,Southern Hemisphere,Very High,LAC,42.0,2020,16.73130035,Latin America and Caribbean,6.228499889,1.096992493,1.323286891,0.889260828,0.417482227,0.155579001,0.06284935
CHN,China,Asia,Northern Hemisphere,High,EAP,79.0,2020,14.2361149,East Asia,5.123899937,0.990533412,1.132080674,0.867248535,0.601605117,0.079021044,0.117255554
CIV,Ivory Coast,Africa,Northern Hemisphere,Medium,SSA,159.0,2020,10.67558002,Sub-Saharan Africa,5.233300209,0.537094414,0.799727261,0.154942513,0.397122532,0.169915587,0.093495794
CMR,Cameroon,Africa,Northern Hemisphere,Medium,SSA,151.0,2020,13.10859922,Sub-Saharan Africa,5.084899902,0.503958046,0.89972645,0.270189553,0.439242482,0.198020101,0.054393422
COL,Colombia,America,Northern Hemisphere,High,LAC,88.0,2020,14.44274998,Latin America and Caribbean,6.163400173,0.93220371,1.33445096,0.810020149,0.526890039,0.092374094,0.04584837
CRI,Costa Rica,America,Northern Hemisphere,Very High,LAC,58.0,2020,16.54577065,Latin America and Caribbean,7.121399879,0.981107712,1.374853611,0.939635336,0.645017743,0.131266311,0.096362092
DEU,Germany,Europe,Northern Hemisphere,Very High,,9.0,2020,17.01013947,Western Europe,7.075799942,1.314184546,1.368543744,0.972114801,0.564274132,0.252037704,0.309362292
DNK,Denmark,Europe,Northern Hemisphere,Very High,,6.0,2020,18.71479988,Western Europe,7.645599842,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328
DOM,Dominican Republic,America,Northern Hemisphere,High,LAC,80.0,2020,14.46655802,Latin America and Caribbean,5.689199924,0.983191848,1.328888893,0.741901696,0.5628739,0.112196781,0.115945682
DZA,Algeria,Africa,Northern Hemisphere,High,AS,91.0,2020,14.62689602,Middle East and North Africa,5.005099773,0.943856001,1.143003583,0.745418549,0.083943799,0.118915014,0.129190654
ECU,Ecuador,America,Southern Hemisphere,High,LAC,95.0,2020,14.62423038,Latin America and Caribbean,5.925199986,0.853383601,1.221027613,0.838837743,0.555234551,0.115006477,0.086753383
EGY,Egypt,Africa,Northern Hemisphere,High,AS,97.0,2020,13.78649972,Middle East and North Africa,4.151400089,0.875228941,0.982539535,0.596911311,0.373684734,0.068801254,0.095461793
ESP,Spain,Europe,Northern Hemisphere,Very High,,27.0,2020,17.91690063,Western Europe,6.400899887,1.230535269,1.421099186,1.051343083,0.425983816,0.16530548,0.109579779
EST,Estonia,Europe,Northern Hemisphere,Very High,,31.0,2020,15.92895985,Central and Eastern Europe,6.021800041,1.192441225,1.453232527,0.842615008,0.576664805,0.125136748,0.201766819
ETH,Ethiopia,Africa,Northern Hemisphere,Low,SSA,175.0,2020,9.651071421,Sub-Saharan Africa,4.186200142,0.315125644,1.001103282,0.483846247,0.41256687,0.227698103,0.117437035
FIN,Finland,Europe,Northern Hemisphere,Very High,,11.0,2020,19.05192947,Western Europe,7.808700085,1.285189509,1.499525905,0.961271405,0.66231674,0.159670442,0.477857262
FRA,France,Europe,Northern Hemisphere,Very High,,28.0,2020,15.81206989,Western Europe,6.663799763,1.268129349,1.458839178,1.029714227,0.514050901,0.112607703,0.227303237
GAB,Gabon,Africa,Southern Hemisphere,High,SSA,112.0,2020,12.97731,Sub-Saharan Africa,4.829299927,0.988044381,1.10639751,0.522574842,0.369459897,0.052013602,0.055804539
GBR,United Kingdom,Europe,Northern Hemisphere,Very High,,18.0,2020,17.30971909,Western Europe,7.164500237,1.273061037,1.457844973,0.97570008,0.525168657,0.373433441,0.322601646
GEO,Georgia,Asia,Northern Hemisphere,Very High,ECA,63.0,2020,15.56851959,Central and Eastern Europe,4.672599792,0.847198069,0.7311939,0.694657624,0.485494107,0.047609735,0.174088076
